listing_id,price,borough,neighbourhood_name,accommodates,bedrooms,beds,price_per_accommodate,host_is_superhost,number_of_reviews,review_scores_rating,availability_365
777097,129.0,Brooklyn,Bedford-Stuyvesant,3,1.0,1.0,43.0,f,2,5.0,178
777327,128.0,Brooklyn,Flatbush,3,1.0,2.0,42.666666666666664,f,67,4.65,203
779838,260.0,Manhattan,Upper West Side,2,2.0,1.0,130.0,f,16,4.56,354
852118,209.0,Brooklyn,Crown Heights,4,2.0,2.0,52.25,f,93,4.52,156
852632,100.0,Brooklyn,Gowanus,1,1.0,1.0,100.0,f,258,4.93,336
854396,53.0,Brooklyn,Williamsburg,1,1.0,1.0,53.0,f,13,4.15,307
855549,201.0,Manhattan,Upper West Side,2,1.0,1.0,100.5,f,231,4.76,180
856918,61.0,Brooklyn,Park Slope,3,0.0,3.0,20.333333333333332,f,16,4.56,185
857810,249.0,Brooklyn,Williamsburg,3,1.0,1.0,83.0,t,33,4.94,335
783202,346.0,Manhattan,West Village,4,1.0,3.0,86.5,t,420,4.73,49
783341,73.0,Manhattan,Lower East Side,1,1.0,1.0,73.0,t,73,4.85,299
784122,189.0,Brooklyn,Bedford-Stuyvesant,4,2.0,4.0,47.25,t,94,4.78,360
784124,165.0,Brooklyn,Bedford-Stuyvesant,4,2.0,2.0,41.25,t,81,4.74,313
864981,43.0,Brooklyn,Sunset Park,1,1.0,1.0,43.0,t,58,4.95,231
867020,57.0,Brooklyn,Greenpoint,1,1.0,1.0,57.0,f,12,4.83,306
873701,103.0,Brooklyn,Crown Heights,4,1.0,1.0,25.75,t,210,4.84,321
874706,95.0,Brooklyn,Kensington,3,1.0,2.0,31.666666666666668,f,243,4.68,365
876355,180.0,Manhattan,Morningside Heights,2,1.0,1.0,90.0,f,19,4.79,132
787060,140.0,Manhattan,Murray Hill,1,1.0,1.0,140.0,t,7,4.83,252
789302,249.0,Manhattan,Chelsea,4,1.0,2.0,62.25,f,8,4.88,315
794156,230.0,Manhattan,Upper West Side,2,1.0,2.0,115.0,t,64,4.6,228
795641,225.0,Queens,Ditmars Steinway,4,1.0,1.0,56.25,f,12,5.0,362
883480,185.0,Manhattan,Upper West Side,2,2.0,2.0,92.5,f,81,4.82,59
886808,75.0,Queens,Flushing,1,1.0,1.0,75.0,t,319,4.87,123
887355,500.0,Manhattan,Murray Hill,4,0.0,2.0,125.0,f,0,,365
890839,426.0,Brooklyn,Prospect Heights,8,2.0,3.0,53.25,t,78,4.79,353
804194,136.0,Brooklyn,Williamsburg,2,1.0,1.0,68.0,t,125,4.92,196
808476,79.0,Manhattan,Washington Heights,1,2.0,2.0,79.0,f,1,5.0,363
896535,174.0,Manhattan,Upper West Side,2,0.0,2.0,87.0,t,57,4.63,163
904060,280.0,Brooklyn,Bedford-Stuyvesant,2,1.0,1.0,140.0,f,49,4.8,315
918049,250.0,Manhattan,Chelsea,1,1.0,1.0,250.0,f,62,4.81,257
811238,250.0,Manhattan,Harlem,4,1.0,2.0,62.5,f,8,4.71,362
814327,81.0,Manhattan,Upper East Side,1,1.0,1.0,81.0,f,65,4.29,365
816888,67.0,Manhattan,Washington Heights,2,1.0,1.0,33.5,t,29,4.66,325
817113,78.0,Brooklyn,Crown Heights,3,1.0,2.0,26.0,f,82,4.46,347
818084,271.0,Manhattan,Greenwich Village,3,1.0,2.0,90.33333333333333,t,102,4.89,344
818481,99.0,Manhattan,Harlem,2,1.0,1.0,49.5,f,104,4.57,270
919830,481.0,Manhattan,Chelsea,4,2.0,2.0,120.25,t,271,4.85,252
921500,250.0,Brooklyn,Crown Heights,4,2.0,2.0,62.5,f,2,5.0,309
924600,64.0,Brooklyn,Bedford-Stuyvesant,1,1.0,1.0,64.0,f,193,4.84,30
927408,134.0,Brooklyn,Clinton Hill,3,1.0,2.0,44.666666666666664,f,66,4.65,325
